N,bst size,bst maxHeight, bst aveHeight,log(size),sqrt(size),log(N),sqrt(N)
6380,364,13,8.0,5.8971538676367405,19.078784028338912,8.760923376338836,79.87490219086344
6381,366,13,8.0,5.902633333401366,19.131126469708992,8.761080103868347,79.88116173416608
6382,365,13,8.0,5.8998973535824915,19.1049731745428,8.76123680683819,79.88742078700501
6383,372,13,8.0,5.918893854273146,19.28730152198591,8.761393485256058,79.89367934949547
6384,382,13,8.0,5.945420608606575,19.544820285692065,8.761550139129644,79.89993742175271
6385,381,13,8.0,5.942799375126701,19.519221295943137,8.76170676846664,79.90619500389191
6386,376,13,8.0,5.929589143389895,19.390719429665317,8.761863373274727,79.91245209602819
6387,389,13,8.0,5.963579343618446,19.72308292331602,8.76201995356159,79.91870869827665
6388,381,13,8.0,5.942799375126701,19.519221295943137,8.762176509334903,79.92496481075234
6389,375,13,8.0,5.926926025970411,19.364916731037084,8.762333040602343,79.93122043357026
6390,365,13,8.0,5.8998973535824915,19.1049731745428,8.762489547371581,79.93747556684536
6391,372,13,8.0,5.918893854273146,19.28730152198591,8.762646029650282,79.94373021069256
6392,371,13,8.0,5.916202062607435,19.261360284258224,8.76280248744611,79.94998436522674
6393,371,13,8.0,5.916202062607435,19.261360284258224,8.762958920766726,79.95623803056269
6394,364,13,8.0,5.8971538676367405,19.078784028338912,8.763115329619787,79.96249120681522
6395,366,12,8.0,5.902633333401366,19.131126469708992,8.763271714012943,79.96874389409902
6396,366,12,8.0,5.902633333401366,19.131126469708992,8.763428073953845,79.97499609252883
6397,375,12,8.0,5.926926025970411,19.364916731037084,8.763584409450138,79.98124780221924
6398,374,12,8.0,5.924255797414532,19.339079605813716,8.763740720509464,79.98749902328488
6399,383,12,8.0,5.948034989180646,19.570385790780925,8.76389700713946,79.9937497558403
6400,382,12,8.0,5.945420608606575,19.544820285692065,8.764053269347762,80.0
6401,374,12,8.0,5.924255797414532,19.339079605813716,8.764209507142004,80.00624975587844
6402,377,12,8.0,5.932245187448011,19.4164878389476,8.764365720529808,80.01249902359005
6403,377,12,8.0,5.932245187448011,19.4164878389476,8.764521909518802,80.01874780324921
6404,388,12,8.0,5.961005339623274,19.697715603592208,8.764678074116606,80.02499609497022
6405,388,12,8.0,5.961005339623274,19.697715603592208,8.764834214330834,80.0312438988674
6406,387,12,8.0,5.958424693029782,19.672315572906,8.764990330169104,80.03749121505496
6407,400,12,8.0,5.991464547107982,20.0,8.765146421639022,80.04373804364711
6408,396,12,8.0,5.981414211254481,19.8997487421324,8.765302488748196,80.049984384758
6409,389,12,8.0,5.963579343618446,19.72308292331602,8.765458531504226,80.05623023850174
6410,389,12,8.0,5.963579343618446,19.72308292331602,8.765614549914716,80.06247560499239
6411,378,12,8.0,5.934894195619588,19.44222209522358,8.765770543987257,80.06872048434394
6412,385,12,8.0,5.953243334287785,19.621416870348583,8.765926513729443,80.0749648766704
6413,404,12,8.0,6.0014148779611505,20.09975124224178,8.766082459148864,80.0812087820857
6414,412,12,8.0,6.021023349349527,20.29778313018444,8.7662383802531,80.0874522007037
6415,411,12,8.0,6.018593214496234,20.273134932713294,8.766394277049736,80.09369513263825
6416,402,12,8.0,5.996452088619021,20.049937655763422,8.766550149546351,80.09993757800315
6417,402,12,8.0,5.996452088619021,20.049937655763422,8.766705997750515,80.10617953691214
6418,395,12,8.0,5.978885764901122,19.87460691435179,8.766861821669803,80.11242100947892
6419,386,12,8.0,5.955837369464831,19.6468827043885,8.767017621311778,80.11866199581718
6420,392,12,8.0,5.971261839790462,19.79898987322333,8.767173396684006,80.12490249604052
6421,391,12,8.0,5.968707559985366,19.77371993328519,8.76732914779405,80.1311425102625
6422,390,12,8.0,5.966146739123692,19.748417658131498,8.76748487464946,80.1373820385967
6423,396,12,8.0,5.981414211254481,19.8997487421324,8.767640577257792,80.14362108115655
6424,395,12,8.0,5.978885764901122,19.87460691435179,8.767796255626598,80.14985963805552
